"ISBN","Book-Title","Book-Author","Year-of-Publication","Publisher","Quantity"
"0140100032","Ian Shoales' Perfect World","Merle Kessler","1988","Penguin USA","100"
"0684870673","Lies Across America : What Our Historic Sites Get Wrong","James W. Loewen","2000","Touchstone","77"
"093914994X","The Curious Eat Themselves","John Straley","1993","Soho Press","52"
"0552143774","Horse Whisperer","Nicholas Evans","0","Bantam Doubleday Dell","60"
"0886193540","Sleepwalker","June Callwood","1990","Firefly Books Ltd","64"
"0142004278","Big Fish","Daniel Wallace","2003","Penguin USA (Paper)","14"
"0451192036","Black Like Me","John Howard Griffin","1996","Signet Book","42"
"0310217598","Word of Honor","Terri Blackstock","1999","Zondervan Publishing Company","42"
"031021758X","Shadow of Doubt","Terri Blackstock","1998","Zondervan Publishing Company","82"
"1568654782","Shunning","Beverly Lewis","0","Bantam Doubleday Dell","87"
"8807810786","Comici Spaventati Guerrieri","Stefano Benni","0","Feltrinelli","34"
"8804501596","Il Momento E Catartico","Oreglio Flavio","2002","Distribooks Inc","22"
"8807811987","Baol Una Tranquilla Notte Di Regime (Fiction, Poetry and Drama)","Benni","0","Feltrinelli","49"
"8807812061","Garzanti - Gli Elefanti: Eva Luna Racconta","Allende","0","Feltrinelli","98"
"8817853747","Insciallah: Romanzo","Oriana Fallaci","1990","Rizzoli","45"
"0140434186","Wuthering Heights (Penguin Classics)","Emily Bronte","1996","Penguin Books","59"
"0141182458","Dubliners (Penguin Modern Classics)","James Joyce","2000","Penguin Books Ltd","59"
"0595140459","I Married Dr. Jekyll and Woke Up Mrs. Hyde: Or What Happens to Love","Alma H., Ph.D. Bond","2000","iUniverse.com","41"
"0913559482","The Autobiography of Maria Callas: A Novel","Alma H. Bond","1998","Birch Brook Press","23"
"8435015963","Cuentos Ciertos E Inciertos","Naguib Mahfuz","2002","Edhasa","84"
"8420633127","Ficciones","Jorge Luis Borges","1997","Alianza Editorial","85"
"8420633135","El Libro de Arena","Jorge Luis Borges","1997","Alianza Editorial","53"
"0517189186","The Clan of the Cave Bear (Earth's Children Series , No 1)","Jean M. Auel","1998","Random House Value Publishing","23"
"0374148570","Eucalyptus","Murray Bail","1998","Farrar Straus &amp; Giroux","41"
"8433914553","Erecciones, Eyaculaciones, Exhibiciones","Charles Bukowski","1995","Anagrama","91"
"8401427568","El coronel no tiene quien le escriba","Gabriel Garcia Marquez","1999","Plaza &amp; Janes Editores, S.A.","16"
"9681336089","Vivir Para Contarla / To Live to Tell It (Spanish)","Gabriel Garcia Marques","2002","Diana","22"
"0375700668","A Samba for Sherlock","Jo Soares","1998","Vintage Books USA","77"
"0743204239","Lo es : Una memoria","Frank McCourt","2000","Fireside","34"
"0192833863","Dracula (Oxford World's Classics)","Bram Stoker","1998","Oxford University Press","21"
"067931041X","The Dominion of Wyley McFadden","Scott Gardiner","2000","McClelland &amp; Stewart Ltd","64"
"0805041508","Last Rites: A Novel (Harvey, John, Charles Resnick Novels.)","John Harvey","1999","Henry Holt &amp; Company","95"
"0380977702","Shadows of Sin: A Jessie Drake Mystery (Jessie Drake Mysteries (Hardcover))","Rochelle Krich","2001","William Morrow &amp; Company","20"
"096774590X","Lofting","Alma Marceau","2001","Studio Loplop","66"
"0446531480","A Body to Die For","Kate White","2003","Warner Books","76"
"3442353971","Geheimakte Proteus.","F. Paul Wilson","2001","Goldmann","20"
"0451207645","The Oath","John Lescroart","2003","Signet Book","41"
"0316092738","I Will Sing Life: Voices from the Hole in the Wall Gang Camp","Larry Berger","1992","Little Brown &amp; Co","32"
"0743428188","The Twentieth Wife: A Novel","Indu Sundaresan","2003","Washington Square Press","56"
"8433914871","Pulp","Charles Bukowski","1997","Anagrama","12"
"0590598856","Dumb and Dumber Joke Book","Megan Stine","1996","Scholastic Paperbacks (Mm)","54"
"0061000078","Billy Bathgate: A Novel","E. L. Doctorow","1991","Harper Mass Market Paperbacks","80"
"0671670689","Dawn (Cutler)","V.C. Andrews","1990","Pocket","61"
"0449000869","Ashworth Hall (Charlotte &amp; Thomas Pitt Novels (Paperback))","ANNE PERRY","1998","Fawcett","74"
"0446605581","Fat Tuesday","Sandra Brown","1998","Warner Vision","30"
"0441694543","Quozl","Alan Dean Foster","1989","Ace Books","39"
"044640344X","Smoke","Donald E. Westlake","1996","Warner Books","17"
"1572972181","The Crow: City of Angels : A Novel","Chet Williamson","1996","Berkley Publishing Group","10"
"0345395069","Reign in Hell","William Diehl","1998","Ballantine Books","64"
"0425148343","Wednesday's Child: An Inspector Banks Mystery","Peter Robinson","1996","Berkley Publishing Group","88"
"0515117552","Pure Instinct","Robert W. Walker","1996","Jove Books","63"
"042514545X","Fool's Puzzle","Earlene Fowler","1995","Berkley Publishing Group","32"
"0553298836","Copy Kat (Kat Colorado Mysteries)","KAREN KIJEWSKI","1990","Crimeline","30"
"0425156729","Gallow's View (Inspector Banks Mysteries (Paperback))","Peter Robinson","1997","Berkley Publishing Group","71"
"042516988X","Stray Kat Waltz (Kat Colorado Mysteries)","Karen Kijewski","1999","Berkley Publishing Group","49"
"0380794772","In a Dry Season","Peter Robinson","2000","Avon","10"
"0671011375","Death du Jour","Kathy Reichs","2000","Pocket","76"
"0515124796","Cold Blood","Lynda LA Plante","1999","Jove Books","44"
"0515126489","Critical Mass","Steven Paul Martini","1999","Jove Books","82"
"0679753826","Mohawk (Vintage Contemporaries)","Richard Russo","1994","Vintage Books USA","72"
"0380974282","Purification Ceremony","Mark T. Sullivan","1997","William Morrow &amp; Company","79"
"0684196778","HANGMAN'S ROOT","Susan Wittig Albert","1994","Scribner","57"
"0399142851","Unnatural Exposure","Patricia Daniels Cornwell","1997","Putnam Pub Group","50"
"0399146253","The Last Precinct","Patricia Daniels Cornwell","2000","Putnam Publishing Group","13"
"0316693294","Cat and Mouse","James Patterson","1997","Replica Books","11"
"0892964111","Poor Butterfly","Stuart M. Kaminsky","1990","Warner Books Inc","75"
"0671042742","The Honourable Schoolboy","John le Carre","2000","Pocket","71"
"0385480385","Wilderness of Mirrors","Linda Davies","1996","Doubleday Books","11"
"0385488424","Sunset Limited","James Lee Burke","1998","Bantam Dell Pub Group","42"
"0553096834","Couplehood","Paul Reiser","1994","Bantam Dell Pub Group","39"
"0425130746","Sisters in Crime 4","Marilyn Wallace","1991","Berkley Publishing Group","58"
"0553102133","The Last Family","John R. Miller","1996","Bantam","43"
"0345391330","Perfect Justice","William Bernhardt","1995","Ballantine Books","13"
"0345334019","Escape the Night","Richard North Patterson","1995","Ballantine Books","69"
"055356966X","By Evil Means (Phoebe Siegel Mystery)","SANDRA WEST PROWELL","1995","Crimeline","70"
"0553574663","The Grilling Season","Diane Mott Davidson","1998","Bantam Books","61"
"0451180054","Trial by Fire","Nancy Taylor Rosenberg","1996","Signet Book","80"
"0812590554","White Smoke: A Novel About the Next Papal Conclave","Andrew M. Greeley","1997","Forge","97"
"055357924X","Kissed a Sad Goodbye (Duncan Kincaid/Gemma James Novels (Paperback))","Deborah Crombie","2001","Bantam Books","99"
"0061093920","Render Up the Body : A Novel of Suspense","Marianne Wesson","1998","HarperTorch","89"
"0671898779","Rescue","Jeremiah Healy","1995","Pocket Books","58"
"0812571991","Legacies : A Repairman Jack Novel (Repairman Jack)","F. Paul Wilson","2000","Forge Books","48"
"0451199650","Stealing Time (April Woo Suspense Novels (Paperback))","Leslie Glass","2000","Signet Book","69"
"0451197429","The Disappearance","J. F. Freedman","1999","Signet Book","48"
"0553102346","Deception on His Mind","Elizabeth George","1997","Bantam","81"
"0399146504","The Devil's Code","John Sandford","2000","G. P. Putnam's Sons","86"
"0312143648","Malice Prepense","Kate Wilhelm","1996","St Martins Pr","67"
"0553099590","Guilty As Sin","Tami Hoag","1996","Bantam","11"
"038530000X","A Woman's Eye","Sara Paretsky","1991","Bantam Dell Pub Group","37"
"3499233312","Wie die Tiere.","Wolf Haas","2002","Rowohlt Tb.","98"
"0140620508","Ivanhoe (Penguin Popular Classics)","Walter Scott","1994","Penguin Books Ltd","81"
"1895565545","The Group of Seven and Tom Thomson: An Introduction","Anne Newlands","1995","Firefly Books Ltd","64"
"0416469604","Tao of Pooh (Magnet Special)","Benjamin Hoff","1987","Routledge","95"
"1841120685","?What If!: How to Start a Creative Revolution at Work","Dave Allan","2001","Wiley John &amp; Sons","79"
"0044402449","Immortal Blood","Barbara Hambly","1988","HarperCollins Publishers","30"
"0749425628","How to Be Better at Managing Change (How to Be Better Series)","David Hussey","1998","Kogan Page","32"
"0273622218","All Change: Project Manager's Secret Handbook (Financial Times Management)","Eddie Obeng","1996","Financial Times Prentice Hall","78"
"0751530328","Thin Air","Storm Constantine","2002","Firebird Distributing","26"
"0140431020","Lady Susan ; The Watsons ; Sanditon (Penguin English Library)","Jane Austen","1975","Penguin Books","31"
"0749418222","Develop Your Assertiveness (Better Management Skills Series)","Sue Bishop","1996","Kogan Page","69"
"0241141095","Hotel World","Ali Smith","2001","Hamish Hamilton","52"
"0450547434","Creed","James Herbert","1996","Hodder &amp; Stoughton General Division","22"
"0340766638","Sweet Dreams Are Made of This a Dark Fai","Margaret Burt","0","Trafalgar Square","54"
"0860680649","Surfacing","Margaret Atwood","0","Trafalgar Square","22"
"0140040021","The Hothouse by the East River","Muriel Spark","1977","Viking Press","52"
"2253098183","V�?©rit�?©","Emile Zola","1996","LGF","44"
"0312997159","A Summer in the Country","Marcia Willett","2004","St. Martin's Paperbacks","10"
"0786890061","No Witnesses","Ridley Pearson","2001","Hyperion Press","61"
"0553279378","I Know Why the Caged Bird Sings","MAYA ANGELOU","1983","Bantam","73"
"0440209986","Not Exactly a Brahmin","Susan Dunlap","1991","Dell","18"
"0380788640","Murder on the Yukon Quest: An Alaska Mystery","Sue Henry","2000","Avon","14"
"0380788632","Death Takes Passage (Alaska Mysteries (Paperback))","Sue Henry","1998","Avon","77"
"0380717581","Murder on the Iditarod Trail (Alaska Mysteries (Paperback))","Sue Henry","1993","Avon","74"
"0684826143","The Funeral Makers","Cathie Pelletier","1997","Scribner","70"
"1551666987","Marriage by the Book","Joan Johnston","2003","Mira","17"
"0425176037","Shell Game (Kathleen Mallory Novels (Paperback))","Carol O'Connell","2000","Berkley Publishing Group","68"
"0156013126","The Same Sea","Amos Oz","2002","Harvest Books","93"
"0446610941","Misfortune","Nancy Geary","2002","Warner Books","98"
"0425083837","The Hunt for Red October","Tom Clancy","1985","Berkley Publishing Group","47"
"0425135721","McNally's Secret (Archy McNally Novels (Paperback))","Lawrence Sanders","1994","Berkley Publishing Group","18"
"0515130540","Meet Me at Midnight","Jacqueline Navin","2001","Jove Books","33"
"0515090654","Twice Loved","Lavyrle Spencer","1984","Jove Books","47"
"0553292722","Still Waters","TAMI HOAG","1992","Bantam","76"
"0380721643","Track of the Cat (Anna Pigeon Mysteries (Paperback))","Nevada Barr","1994","Avon Books","77"
"0425183750","Blood Lure","Nevada Barr","2002","Berkley Publishing Group","12"
"0445408502","The Cheshire Cat's Eye","Marcia Muller","1990","Warner Books","83"
"0553270486","The Robert Half Way to Get Hired in Today's Job Market","Robert Half","1989","Bantam Books","40"
"0380798573","The Falcon at the Portal: An Amelia Peabody Mystery","Elizabeth Peters","2000","Avon","44"
"0452282268","Le Mariage","Diane Johnson","2001","Plume Books","74"
"0786867787","Spilling Clarence: A Novel","Anne Ursu","2002","Hyperion","11"
"0307001253","Happy and Sad, Grouchy and Glad (Little Golden Book)","Golden Books","1995","Essence Communications","48"
"0590484133","The Magic School Bus Hops Home: A Book About Animal Habitats","Patricia Relf","1995","Scholastic","57"
"067982412X","Knight At Dawn (Magic Tree House 2, paper)","Mary Pope Osborne","1993","Random House Children's Books","98"
"0373227272","Confiscated Conception (Harlequin Intrigue, 727)","Delores Fossen","2003","Harlequin","38"
"0373872410","Loving Ways (Love Inspired)","Gail Gaymer Martin","2003","Steeple Hill","63"
"0671550578","The STAR GROUP PAPERBACK","Christopher Pike","1997","Simon Pulse","32"
"0671550764","CHRISTOPHER PIKE'S TALES OF TERROR #2","Christopher Pike","1998","Simon Pulse","35"
"0373226918","The Bride's Rescuer","Charlotte Douglas","2002","Harlequin","50"
"0761118691","Father to Son: Life Lessons on Raising a Boy","Jr. Harry H. Harrison","2000","Workman Publishing","68"
"0671680080","Star Trek V: The Final Frontier","J.M. Dillard","1989","Star Trek","15"
"0345354621","The Terminal Man","Michael Crichton","1988","Ballantine Books","66"
"0671442686","Restaurant at the End of the Universe","Douglas Adams","1982","Pocket","92"
"0671525808","So Long and Thanks for all the Fish","Douglas Adams","1985","Pocket","60"
"0671684027","Metamorphosis (Star Trek: The Next Generation)","Jean Lorrah","1990","Star Trek","94"
"0671701304","GULLIVERS FUGITIVES STAR TREK NEXT GENERATION #11 (Star Trek : the Next Generation, No 11)","Keith Sharee","1990","Star Trek","55"
"0380773066","Dark Mirror, Dark Dreams","Sharon Green","1994","Harpercollins","16"
"0812516214","Dreams Underfoot","Charles De Lint","1995","Tor Books","11"
"0446602299","Alien: Resurrection - The Novelization","A. C. Crispin","1997","Warner Books","90"
"0312954115","The Cheapskate Monthly Money Makeover","Mary Hunt","1995","St. Martin's Press","77"
"0671742493","Delta Of Venus","Anais Nin","1991","Pocket","20"
"0451511328","Frankenstein","Mary Wollstonecraft Shelley","1965","Signet Book","87"
"0671441515","Othello","William Shakespeare","1981","Pocket Books","88"
"0867211725","Elfquest: Journey to Sorrows End","Wendy Pini","1982","Berkley Pub Group","61"
"0140111891","Mixed Blessings: Overcoming the Stumbling Blocks in an Interfaith Marriage","Paul Cowan","1989","Penguin Books","29"
"0061054143","The X-Files: Goblins","Charles Grant","1994","HarperEntertainment","97"
"0449220893","Beast","Peter Benchley","1992","Fawcett Books","27"
"0064420485","Wolfman Sam (A Trophy Chapter Book)","Elizabeth Levy","1996","HarperTrophy","30"
"0590939351","Stop That Eyeball! (Spencer's Adventures, No 1)","Gary Hogg","1997","Scholastic Paperbacks","80"
"078688214X","Hemingway in Love and War: The Lost Diary of Agnes Von Kurowsky","Agnes Von Kurowsky","1996","Hyperion Books","26"
"0446391301","Geek Love","Katherine Dunn","1993","Warner Books","48"
"0743233026","Sin Killer","Larry McMurtry","2002","Simon &amp; Schuster","98"
"3442722403","Die vier S�?¶hne des Doktor March.","Brigitte Aubert","1997","btb","77"
"3442720117","Und Nietzsche Weinte","Irvin D. Yalom","1996","Wilhelm Goldmann Verlag GmbH","59"
"0140621873","The American (Penguin Popular Classics)","Henry James","1995","Penguin Books Ltd","39"
"8420646032","Horror de Dunwich, El","H. P. Lovecraft","1994","Alianza","80"
"8495501090","El ocho","Katherine Neville","2001","Punto de Lectura","51"
"8495501198","Memorias de una geisha","Arthur Golden","2001","Suma de Letras","97"
"8423333213","El Hereje","Miguel Delibes","2002","Distribooks","35"
"0060119071","People of Darkness","Tony Hillerman","1980","Harpercollins","87"
"0875963234","The Men's Health Guide To Peak Conditioning","Richard Laliberte","1997","Rodale Books","46"
"0449911462","Think and Grow Rich","Napoleon Hill","1996","Ballantine Books","24"
"0931580587","Ain't Nobody's Business If You Do : The Absurdity of Consensual Crimes in Our Free Country","Peter McWilliams","1996","Prelude Press","65"
"0312123337","Lost Rights : The Destruction of American Liberty","James Bovard","1995","Palgrave Macmillan","25"
"0965603695","The Great Libertarian Offer","Harry Browne","2000","Liamworks","51"
"0068596022","Restoring the American dream","Robert J Ringer","1979","distributed by Harper &amp; Row","77"
"0066620732","Just for Fun: The Story of an Accidental Revolutionary","Linus Torvalds","2002","HarperBusiness","67"
"0525446052","The Big Book for Peace","Lloyd Alexander","1990","Dutton Books","11"
"0440417449","I Love You So Much","Carl Norac","2002","Dragonfly Books","22"
"8433925180","El Antropologo Inocente","Nigel Barley","1998","Anagrama","12"
"8478444211","El Baron Rampante","Italo Calvino","1999","Siruela","34"
"970651452X","El Dominico Blanco","Gustav Meyrink","2001","Grupo Oceano","46"
"0613282728","Adivina Cuanto Te Quiero/Guess How Much I Love You","Sam McBratney","2000","Sagebrush Bound","37"
"8408042467","Mi Corazon Que Baila Con Espigas","Carmen Rigalt","2003","Planeta Pub Corp","60"
"8484504336","Antologias de Las Mejores Poesias","Luis Maria Anson","2001","Debols!llo","37"
"8495002175","La Atlántida","Carlos Barcelo","2000","Edimat Libros","89"
"8483101610","Soldados De Salamina (Coleccion Andanzas, 433)","Javier Cercas","2001","Tusquets","23"
"8472236994","Los Novios Bulgaros/the Bulgarian Boyfriends (Colección Andanzas)","Eduardo Mendicutti","1993","Tusquets","63"
"0802130119","The Master and Margarita","Mikhail Bulgakov","1987","Grove Press","35"
"0440224705","Hard Time (V.I. Warshawski Novels (Paperback))","SARA PARETSKY","2000","Dell","94"
"0312983867","Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)","Janet Evanovich","2003","St. Martin's Paperbacks","24"
"045120994X","Fear of Flying","Erica Jong","2003","Signet Book","33"
"0345459202","Big Stone Gap","Adriana Trigiani","2003","Fawcett Books","67"
"0312955731","White Shark","Peter Benchley","1995","St. Martin's Press","53"
"0553205803","Even Cowgirls Get the Blues","Thomas Robbins","1981","Bantam Books","34"
"0553541633","Diary of a Young Girl","Anne Frank","1993","Bantam Books","72"
"0684800713","Sun Also Rises","Ernest Hemingway","1995","Scribner","70"
"1566840287","The Christmas Box (Christmas Box Trilogy)","Richard Paul Evans","1993","Pubs Wholesale","43"
"0062500260","Medicine Woman","Lynn V. Andrews","1983","HarperSanFrancisco","92"
"0380793229","The Isle of Battle : Book Two of the Swans' War (The Swqans' War, Book 2)","Sean Russell","2003","Eos","88"
"0345304659","The Nirvana Blues","John Nichols","1983","Ballantine Books","59"
"0786888083","Confessions of a Dangerous Mind : An Unauthorized Autobiography","Chuck Barris","2002","Miramax","86"
"0345344464","Milagro Beanfield War","John Treadwell Nichols","1990","Ballantine Books","62"
"0374115540","Borderliners","Peter Hoeg","1994","Farrar Straus &amp; Giroux","28"
"0671718436","Shampoo Planet","Douglas Coupland","0","Simon Schuster","45"
"0684163268","Old Man and the Sea","Ernest Hemingway","1979","Scribner Book Company","28"
"1400031346","The No. 1 Ladies' Detective Agency","Alexander McCall Smith","2002","Anchor (UK)","59"
"0754101495","In Endless Strife","Louise Gherasim","1998","Minerva Press Ltd.","15"
"0446524131","Something More: Excavating Your Authentic Self","Sarah Ban Breathnach","1998","Warner Books","31"
"0446612626","Reversible Errors","Scott Turow","2003","Warner Vision","20"
"1565076613","Meet Me for Coffee","Holly Halverson","1998","Harvest House Pub","94"
"0316781142","The Last Time They Met : A Novel","Anita Shreve","2001","Little, Brown","50"
"0609801279","The Law of Love","Laura Esquivel","1997","Three Rivers Press (CA)","22"
"3257230915","Tagebuch 1920.","Isaak Babel","1998","Diogenes Verlag","43"
"2035877393","Illusion Comique","Pierre Corneille","1998","Continental Book Co Inc","53"
"2290301531","Plus fort que la haine","Tim Guenard","2000","J'ai lu","37"
"2070374874","Cyrano De Bergerac (Collection Folio)","E. Rostand","2003","Ideal Foreign Books","86"
"0060008024","Angels","Marian Keyes","2002","William Morrow","18"
"3442725577","M�?¼nsters Fall.","Hakan Nesser","2002","btb","35"
"051511264X","Prime Witness","Steven Paul Martini","1994","Jove Books","62"
"0425052028","The Confessions of Phoebe Tyler","Ruth Warrick","1982","Berkley Pub Group","94"
"0330491199","The Hitch Hiker's Guide to the Galaxy (The Hitch Hiker's Guide to the Galaxy)","Douglas Adams","2002","Pan Macmillan","16"
"0373709323","Cathryn (Circle Of Friends) (Superromance, 932)","Shannon Waverly","2000","Harlequin","62"
"0373710062","First Daughter (The First Family Of Texas) (Harlequin Superromance, No. 1006)","K. N. Casper","2001","Harlequin","48"
"0782141676","CCNA: Cisco Certified Network Associate Study Guide, Third Edition","Todd Lammle","2002","Sybex Inc","36"
"0399526609","Lose Your Love Handles: A 3-Step Program to Streamline Your Waist in 30 Days","MacKie Shilstone","2001","Perigee Books","46"
"0345389417","Servant of the Bones","Anne Rice","1998","Ballantine Books","10"
"0425147584","Debt of Honor (Jack Ryan Novels)","Tom Clancy","1997","Berkley Publishing Group","63"
"0451177037","Suspicion of Guilt","Barbara Parker","1996","Signet Book","46"
"0373710291","Cowboy For Clementine (Home On The Ranch) (Harlequin Superromance, No. 1029)","Susan Floyd","2001","Harlequin","21"
"0451406079","Black Wolf","Tom Wilson","1995","Signet Book","57"
"0373471564","Rafferty'S Choice (Born In The Usa) (Born in the USA)","Dallas Schulze","1997","Harlequin","51"
"0373710267","Charlotte Moore (Girlfriends) (Harlequin Superromance, No. 1026)","Judith Bowen","2001","Harlequin","13"
"037370870X","Dream Baby (By The Year 2000: Baby) (Harlequin Superromance, No. 870)","Ann Evans","1999","Harlequin","67"
"0373709307","That Summer Thing (Riverbend) (Superromance, 930)","Pamela Bauer","2000","Harlequin","86"
"0373708726","His Brother'S Bride (Men Of Glory) (Harlequin Superromance, No. 872)","Judith Bowen","1999","Harlequin","47"
"0373710283","Daughter Of Oklahoma (Hometown U.S.A.) (Harlequin Superromance, No. 1028)","Darlene Graham","2001","Harlequin","93"
"0373710054","My Private Detective (Count On A Cop) (Superromance, 1005)","Rebecca Winters","2001","Harlequin","16"
"0373710356","14 Valentine Place (Harlequin Superromance, No. 1035)","Pamela Bauer","2002","Harlequin","67"
"037371002X","Married In Montana (Big Sky Country) (Harlequin Superromance, No. 1002)","Lynnette Kent","2001","Harlequin","97"
"0373710259","True Heart (9 Months Later) (Harlequin Superromance, No. 1025)","Peggy Nicholson","2001","Harlequin","57"
"0373710275","Just Around The Corner (Shelter Valley Stories) (Harlequin Superromance, No. 1027)","Tara Taylor Quinn","2001","Harlequin","86"
"0373484380","Gifts of Fortune (3 Novels in 1)","Barbara Boswell","2001","Silhouette","65"
"0795151314","Dancing in Light","Claire Foshee","2002","The International Library of Poetry","97"
"0940863332","On the Threshold of a Dream Volume 2","Alisa M. Hoffman","1990","Natl Reference Inst Pubns","49"
"1565924975","VI Editor Pocket Reference","Arnold Robbins","1998","O'Reilly","26"
"0684853523","On Writing","Stephen King","2000","Scribner","51"
"0060193395","Body for Life: 12 Weeks to Mental and Physical Strength","Bill Phillips","1999","HarperCollins","93"
"0446363669","The Doomsday Conspiracy","Sidney Sheldon","1992","Warner Books","90"
"0373471645","Intrusive Man  (Born In The Usa) (Born in the USA, Indiana)","Lass Small","1997","Harlequin","88"
"0373710208","Zoey Phillips (Girlfriends) (Harlequin Superromance, No. 1020)","Judith Bowen","2001","Harlequin","92"
"0373710186","Fire Within (America'S Bravest) (Harlequin Superromance, No. 1018)","Kathryn Shay","2001","Harlequin","40"
"0373484518","Midnight Clear (3 Novels in 1)","Debbie Macomber","2001","Silhouette","53"
"0373710216","We Saw Mommy Kissing Santa Claus (Harlequin Superromance, No. 1021)","Brenda Novak","2001","Harlequin","73"
"0373710070","Two Much Alike (Twins) (Harlequin Superromance, No. 1007)","Pamela Bauer","2001","Harlequin","100"
"0345339495","Nerilka's Story (Dragonriders of Pern (Paperback))","Anne McCaffrey","1995","Del Rey Books","10"
"0671525433","Dark Angel","V.C. Andrews","1986","Pocket","82"
"0060675357","The spiral dance: A rebirth of the ancient religion of the great goddess","Starhawk","1979","Harper &amp; Row","50"
"0345302575","The Smoke Ring","Larry Niven","1990","Del Rey Books","35"
"0812571231","Elvenborn (Halfblood Chronicles)","Andre Norton","2003","Tor Fantasy","13"
"0345386868","Echoes of the Well of Souls (Watchers at the Well, Book 1)","Jack L. Chalker","1994","Del Rey Books","22"
"0151002444","The Hidden Encyclical of Pius XI","Georges Passelecq","1997","Harcourt","59"
"0312152000","Renaissance Moon: A Novel","Linda Nevins","1997","St. Martin's Press","39"
"0452283442","The Darwin Awards: Evolution in Action","Wendy Northcutt","2002","Plume Books","76"
"0440918022","Dragon's Blood (Pit Dragons, Book 1)","Jane Yolen","1984","Laurel-Leaf Books","18"
"1853260274","Gulliver's Travels (Wordsworth Classics)","Jonathan Swift","1997","NTC/Contemporary Publishing Company","83"
"081254949X","Ladylord","Sasha Miller","1997","Tor Books (Mm)","78"
"0345404319","Taltos: Lives of the Mayfair Witches","Anne Rice","1996","Ballantine Books","81"
"0671721887","The SPIRIT RING","Lois McMaster Bujold","1993","Baen","49"
"0671682830","HEAVEN (Casteel Saga (Paperback))","V.C. Andrews","1989","Pocket","70"
"0688086888","And Eternity (Incarnations of Immortality Series, Book 7)","Piers Anthony","1990","Harpercollins","45"
"0312864663","Dream a Little Dream","Piers Anthony","1999","Tor Books","42"
"0812510488","The Season of Passage","Christopher Pike","1993","Tor Books","55"
"0345441494","The Devil's Cup: A History of the World According to Coffee","Stewart Lee Allen","2003","Ballantine Books","42"
"8420636282","El Principito","Antoine De Saint-Exupery","2002","Distribooks","23"
"0609609017","Ten Poems to Change Your Life","Roger Housden","2001","Harmony","26"
"2253041939","L�?©on l'Africain","Amin Maalouf","1987","LGF","77"
"2020326450","Textes de sc�?¨ne","Pierre Desproges","1997","Seuil","72"
"0671015583","The Extra Man (Contemporary Classics (Washington Square Press))","Jonathan Ames","1999","Scribner","29"
"0140248943","Canadian Revolution From Deference to De","Peter C Newman","0","Penguin Putnam~mass","91"
"1894770099","Strike the Wok: An Anthology of Comtemporary Chinese Canadian Fiction","Lien Chao","2003","Tsar Publications","88"
"0571057063","T.S. Eliot - Selected Poems","T.S. Eliot","1961","Faber and Faber Ltd","69"
"0670887315","Disgrace","J. M. Coetzee","1999","Viking Books","81"
"0425098451","N or M?","Agatha Christie","1996","Berkley Publishing Group","98"
"0804105138","Night Magic","Charlotte Vale Allen","1990","Ivy Books","20"
"0671664921","SATISFACTION","Rae Lawrence","1988","Pocket","13"
"0938665650","The Arctic to the Antarctica: Arctic Tern Sails the Americas","Mladen Sutej","2000","Fine Edge Publications","97"
"0553572245","Riding Shotgun","Rita Mae Brown","1997","Bantam Books","89"
"0373834756","Mistletoe Miracles (3 Novels in 1)","Betty Neels","2001","Harlequin","62"
"1568652895","Homecoming","Janet Dailey","1997","Doubleday Books","91"
"0786885912","The Lobster Chronicles : Life On a Very Small Island","Linda Greenlaw","2003","Hyperion","76"
"0307101479","The Three Bears (First Little Golden Book)","Carol North","2000","Golden Books","36"
"0061000299","Listening Woman (Joe Leaphorn Novels)","Tony Hillerman","1990","HarperTorch","15"
"0380731207","The Night of Four Hundred Rabbits","Elizabeth Peters","2002","Avon","26"
"1550130684","The Lighthearted Cookbook: Recipes for Healthy Heart Cooking","Anne Lindsay","1988","H B Fenn &amp; Co","55"
"0471142425","The Html Sourcebook: A Complete Guide to Html 3.0","Ian S. Graham","1996","John Wiley &amp; Sons","17"
"0440413281","Bud, Not Buddy (Newbery Medal Winner, 2000)","Christopher Paul Curtis","2002","Yearling","66"
"0345432479","Crazy in Alabama","Mark Childress","1999","Ballantine Books","87"
"0446609560","The Hook","Donald E. Westlake","2001","Warner Books","80"
"0449912108","The Witches of Eastwick","John Updike","1996","Ballantine Books","84"
"0531150011","The Angel's Dictionary: A Modern Tribute to Ambrose Bierce","Edmund H. Volkart","1986","Granite Impex Ltd","45"
"067940712X","One True Thing","Anna Quindlen","1994","Random House Inc","67"
"1896300421","Dispatches from a Borderless World","Satya Das","1999","NeWest Press","98"
"188259312X","Patty Janes House of Curl","Lorna Landvik","1995","Bridge Works Publishing Company","65"
"0609810030","Love Stories of World War II","Larry King","2002","Three Rivers Press","83"
"0670894699","The Florabama Ladies Auxiliary and Sewing Circle","Lois Battle","2001","Viking Books","13"
"0452283086","The Cross-Country Quilters","Jennifer Chiaverini","2002","Plume Books","12"
"0553573292","Bright Messengers (A Novel Set in the Rama Universe)","Gentry Lee","1996","Bantam","64"
"0448168278","Disney's World of Riddles","Weigle","1979","Putnam Pub Group","69"
"0679810528","Wild, Wild Wolves (Step-Into-Reading, Step 3)","Joyce Milton","1992","Random House Children's Books","61"
"0061000035","The Dark Wind (Jim Chee Novels)","Tony Hillerman","1990","HarperTorch","70"
